nanosecs,vx,vy,vz,timestamp,time
1697719876069017949,"('vx', -0.0105638)","('vy', -0.0205465)","('vz', 0.00371126)",1697719876036808,10.613
1697719876275165710,"('vx', -0.011475)","('vy', -0.0223766)","('vz', 0.00368673)",1697719876240300,10.816
1697719876466340210,"('vx', -0.0103869)","('vy', -0.0216931)","('vz', 0.0037354)",1697719876434403,11.01
1697719876640049820,"('vx', -0.00958605)","('vy', -0.0200749)","('vz', 0.00287952)",1697719876606470,11.182
1697719876829377709,"('vx', -0.0104967)","('vy', -0.0212988)","('vz', 0.00247973)",1697719876795662,11.371
1697719877028935084,"('vx', -0.0118292)","('vy', -0.0211543)","('vz', 0.00228345)",1697719876995830,11.571
1697719877226880039,"('vx', -0.0126871)","('vy', -0.0218857)","('vz', 0.0012213)",1697719877194090,11.769
1697719877407761805,"('vx', -0.0101499)","('vy', -0.0208882)","('vz', 0.00210736)",1697719877374134,11.949
1697719877607059668,"('vx', -0.00912967)","('vy', -0.0200109)","('vz', 0.00125152)",1697719877574106,12.149
1697719877808418587,"('vx', -0.00969252)","('vy', -0.0207655)","('vz', 0.000505301)",1697719877776173,12.351
1697719878000593004,"('vx', -0.0116039)","('vy', -0.0213793)","('vz', 0.000217018)",1697719877961113,12.536
1697719878190761188,"('vx', -0.0131578)","('vy', -0.0226957)","('vz', 0.00154509)",1697719878157544,12.732
1697719878422534184,"('vx', -0.0101813)","('vy', -0.0197023)","('vz', 0.00136512)",1697719878389602,12.964
1697719878765741945,"('vx', -0.00901008)","('vy', -0.0208854)","('vz', 0.00169092)",1697719878732314,13.307
1697719878965306189,"('vx', -0.0110733)","('vy', -0.0212415)","('vz', 0.0029652)",1697719878931783,13.506
1697719879163852750,"('vx', -0.0104597)","('vy', -0.0213648)","('vz', 0.00345671)",1697719879130138,13.704
1697719879366017430,"('vx', -0.00942677)","('vy', -0.020326)","('vz', 0.00402666)",1697719879333001,13.907
1697719879543259153,"('vx', -0.00986936)","('vy', -0.0194487)","('vz', 0.00517562)",1697719879510977,14.085
1697719879742228035,"('vx', 0.0332693)","('vy', 0.0170123)","('vz', 0.0135421)",1697719879709798,14.284
1697719879943987975,"('vx', 0.166771)","('vy', 0.10617)","('vz', 0.0395321)",1697719879911029,14.485
1697719880121491769,"('vx', 0.215443)","('vy', 0.158683)","('vz', 0.0489555)",1697719880089005,14.663
1697719880340586211,"('vx', 0.186158)","('vy', 0.144908)","('vz', 0.0226676)",1697719880307890,14.882
1697719880513232659,"('vx', 0.145215)","('vy', 0.126492)","('vz', -0.0058452)",1697719880479844,15.054
1697719880709923142,"('vx', 0.127528)","('vy', 0.109301)","('vz', -0.0217618)",1697719880677074,15.251
1697719880890026502,"('vx', 0.106284)","('vy', 0.0874852)","('vz', -0.0272888)",1697719880857696,15.432
1697719881103891566,"('vx', 0.0902583)","('vy', 0.0741271)","('vz', -0.0321824)",1697719881070625,15.645
1697719881282677580,"('vx', 0.0728772)","('vy', 0.0577543)","('vz', -0.0372989)",1697719881250367,15.825
1697719881469259081,"('vx', 0.0627482)","('vy', 0.0526773)","('vz', -0.0447144)",1697719881436126,16.011
1697719881664342683,"('vx', 0.0494502)","('vy', 0.0414075)","('vz', -0.0481422)",1697719881631423,16.206
1697719881858156375,"('vx', 0.0477434)","('vy', 0.0475003)","('vz', -0.0443375)",1697719881824325,16.399
1697719882052590983,"('vx', 0.051999)","('vy', 0.0567215)","('vz', -0.0417845)",1697719882019188,16.594
1697719882243616681,"('vx', 0.0486997)","('vy', 0.0566672)","('vz', -0.0380573)",1697719882210932,16.786
1697719882425783038,"('vx', 0.0494519)","('vy', 0.0583318)","('vz', -0.0332161)",1697719882392336,16.967
1697719882622744686,"('vx', 0.0347687)","('vy', 0.0545533)","('vz', -0.025442)",1697719882589839,17.165
1697719882815309886,"('vx', 0.224282)","('vy', 0.174767)","('vz', 0.00856748)",1697719882782575,17.358
1697719883007115289,"('vx', 0.336278)","('vy', 0.231775)","('vz', 0.0152843)",1697719882973533,17.549
1697719883204284279,"('vx', 0.306101)","('vy', 0.259503)","('vz', 0.0184558)",1697719883171443,17.747
1697719883394972003,"('vx', 0.280286)","('vy', 0.176374)","('vz', -0.0368661)",1697719883362205,17.938
1697719883590584455,"('vx', 0.234276)","('vy', 0.150499)","('vz', -0.0468067)",1697719883557607,18.133
1697719883784847423,"('vx', 0.201066)","('vy', 0.147253)","('vz', -0.0447069)",1697719883751568,18.327
1697719883981873469,"('vx', 0.174631)","('vy', 0.13765)","('vz', -0.0474854)",1697719883948622,18.524
1697719884182917950,"('vx', 0.17899)","('vy', 0.203612)","('vz', -0.045553)",1697719884148325,18.724
1697719884383595138,"('vx', 0.251536)","('vy', 0.267249)","('vz', -0.0113896)",1697719884350727,18.926
1697719884545980391,"('vx', 0.278976)","('vy', 0.289565)","('vz', 0.000616057)",1697719884513255,19.089
1697719884745780633,"('vx', 0.310677)","('vy', 0.300847)","('vz', -0.00616799)",1697719884712436,19.288
1697719884945622302,"('vx', 0.246416)","('vy', 0.253572)","('vz', -0.0159443)",1697719884912403,19.488
1697719885146277342,"('vx', 0.190329)","('vy', 0.184822)","('vz', -0.0317528)",1697719885113008,19.689
1697719885342359977,"('vx', 0.146005)","('vy', 0.165977)","('vz', -0.0497126)",1697719885309537,19.886
1697719885524551056,"('vx', 0.127843)","('vy', 0.146755)","('vz', -0.0618471)",1697719885491897,20.068
1697719885723511046,"('vx', 0.117426)","('vy', 0.130364)","('vz', -0.0723085)",1697719885690711,20.267
1697719885921461665,"('vx', 0.109781)","('vy', 0.166769)","('vz', -0.0814511)",1697719885887499,20.464
1697719886108758487,"('vx', 0.104113)","('vy', 0.229097)","('vz', -0.0647283)",1697719886075880,20.652
1697719886289658014,"('vx', 0.107596)","('vy', 0.254246)","('vz', -0.0629035)",1697719886256115,20.832
1697719886482654763,"('vx', 0.115242)","('vy', 0.326271)","('vz', -0.0609354)",1697719886449281,21.025
1697719886687603659,"('vx', 0.152561)","('vy', 0.359712)","('vz', -0.0699618)",1697719886654534,21.23
1697719886880941167,"('vx', 0.17393)","('vy', 0.39229)","('vz', -0.0724983)",1697719886847098,21.423
1697719887077537913,"('vx', 0.177518)","('vy', 0.396473)","('vz', -0.0622836)",1697719887044097,21.62
1697719887250616266,"('vx', 0.200892)","('vy', 0.381747)","('vz', -0.0517115)",1697719887216713,21.793
1697719887467212930,"('vx', 0.214043)","('vy', 0.394411)","('vz', -0.0476959)",1697719887434384,22.011
1697719887670364203,"('vx', 0.190122)","('vy', 0.379173)","('vz', -0.0357745)",1697719887637076,22.214
1697719887867307928,"('vx', 0.118166)","('vy', 0.33593)","('vz', -0.0335258)",1697719887835231,22.412
1697719888067703537,"('vx', 0.0785447)","('vy', 0.303634)","('vz', -0.0308975)",1697719888034404,22.611
1697719888243418659,"('vx', 0.03356)","('vy', 0.280118)","('vz', -0.0344393)",1697719888210337,22.787
1697719888443199767,"('vx', 0.00827908)","('vy', 0.272128)","('vz', -0.0424781)",1697719888410006,22.987
1697719888822179076,"('vx', -0.00787875)","('vy', 0.281373)","('vz', -0.0559681)",1697719888788460,23.365
1697719889021038110,"('vx', 0.0201685)","('vy', 0.300213)","('vz', -0.0624539)",1697719888988097,23.565
1697719889237440535,"('vx', 0.054249)","('vy', 0.323785)","('vz', -0.0696781)",1697719889204573,23.781
1697719889412751326,"('vx', 0.0717103)","('vy', 0.361413)","('vz', -0.0576157)",1697719889379809,23.956
1697719889609921826,"('vx', 0.0875426)","('vy', 0.339889)","('vz', -0.0609675)",1697719889577200,24.153
1697719889806830880,"('vx', 0.0643175)","('vy', 0.333367)","('vz', -0.067346)",1697719889772311,24.348
1697719889992070931,"('vx', 0.0902737)","('vy', 0.336817)","('vz', -0.0688303)",1697719889959075,24.535
1697719890194404409,"('vx', 0.0942686)","('vy', 0.331469)","('vz', -0.0769925)",1697719890161582,24.738
1697719890381927971,"('vx', 0.100377)","('vy', 0.346097)","('vz', -0.0737197)",1697719890349187,24.926
1697719890576065526,"('vx', 0.101392)","('vy', 0.344504)","('vz', -0.0713506)",1697719890542751,25.12
1697719890793471481,"('vx', 0.116114)","('vy', 0.354027)","('vz', -0.0706126)",1697719890761051,25.338
1697719890962543690,"('vx', 0.117246)","('vy', 0.363427)","('vz', -0.0706012)",1697719890929840,25.507
1697719891182115320,"('vx', 0.120942)","('vy', 0.348088)","('vz', -0.0760175)",1697719891149228,25.726
1697719891360441700,"('vx', 0.123205)","('vy', 0.355477)","('vz', -0.0731107)",1697719891327712,25.904
1697719891579751797,"('vx', 0.129362)","('vy', 0.353388)","('vz', -0.0694665)",1697719891546919,26.123
1697719891771719892,"('vx', 0.125555)","('vy', 0.340057)","('vz', -0.0774987)",1697719891738647,26.315
1697719891951594554,"('vx', 0.125091)","('vy', 0.338928)","('vz', -0.0823395)",1697719891917454,26.494
1697719892150769164,"('vx', 0.133347)","('vy', 0.344043)","('vz', -0.08245)",1697719892117929,26.694
1697719892347200182,"('vx', 0.120759)","('vy', 0.33917)","('vz', -0.0900354)",1697719892314219,26.89
1697719892559598699,"('vx', 0.118059)","('vy', 0.329173)","('vz', -0.0922446)",1697719892526191,27.102
1697719892754852196,"('vx', 0.122349)","('vy', 0.337038)","('vz', -0.0907765)",1697719892720580,27.296
1697719892925377637,"('vx', 0.125247)","('vy', 0.335802)","('vz', -0.0929964)",1697719892891890,27.467
1697719893133238752,"('vx', 0.115625)","('vy', 0.337478)","('vz', -0.0915523)",1697719893100062,27.675
1697719893305367904,"('vx', 0.118856)","('vy', 0.338963)","('vz', -0.0895186)",1697719893272211,27.847
1697719893501240594,"('vx', 0.116294)","('vy', 0.334765)","('vz', -0.0911315)",1697719893468457,28.043
1697719893695113964,"('vx', 0.108939)","('vy', 0.340066)","('vz', -0.0920493)",1697719893662403,28.237
1697719893894675329,"('vx', 0.119718)","('vy', 0.352628)","('vz', -0.0908146)",1697719893861878,28.436
1697719894090089380,"('vx', 0.104585)","('vy', 0.345841)","('vz', -0.0907232)",1697719894057512,28.632
1697719894271341798,"('vx', 0.111174)","('vy', 0.339049)","('vz', -0.0894686)",1697719894238632,28.813
1697719894483211831,"('vx', 0.102626)","('vy', 0.353271)","('vz', -0.0804627)",1697719894449590,29.024
1697719894686677119,"('vx', 0.10719)","('vy', 0.344678)","('vz', -0.0782977)",1697719894654057,29.228
1697719894843448032,"('vx', 0.11212)","('vy', 0.353168)","('vz', -0.0793018)",1697719894810098,29.384
1697719895046910215,"('vx', 0.132531)","('vy', 0.356226)","('vz', -0.0803012)",1697719895013922,29.588
1697719895223260439,"('vx', 0.106834)","('vy', 0.323591)","('vz', -0.0785535)",1697719895189734,29.764
1697719895406467033,"('vx', 0.131967)","('vy', 0.350233)","('vz', -0.0673211)",1697719895373205,29.947
1697719895607817379,"('vx', 0.137068)","('vy', 0.355912)","('vz', -0.0727273)",1697719895574890,30.149
1697719895807291719,"('vx', 0.149433)","('vy', 0.340713)","('vz', -0.0691988)",1697719895774251,30.348
1697719896002128659,"('vx', 0.12747)","('vy', 0.26525)","('vz', -0.0636819)",1697719895969308,30.543
1697719896179421055,"('vx', 0.122092)","('vy', 0.231903)","('vz', -0.0635703)",1697719896146014,30.72
1697719896395983875,"('vx', 0.10424)","('vy', 0.193307)","('vz', -0.0684654)",1697719896362720,30.937
1697719896573179253,"('vx', 0.0891519)","('vy', 0.166971)","('vz', -0.0758033)",1697719896538714,31.113
1697719896769881592,"('vx', 0.0889572)","('vy', 0.144524)","('vz', -0.082845)",1697719896736720,31.311
1697719896971301389,"('vx', 0.0826053)","('vy', 0.131212)","('vz', -0.0819121)",1697719896938505,31.513
1697719897169853420,"('vx', 0.0737538)","('vy', 0.113895)","('vz', -0.0801797)",1697719897137176,31.712
1697719897364480962,"('vx', 0.0708598)","('vy', 0.103397)","('vz', -0.0721661)",1697719897331744,31.907
1697719897554248194,"('vx', 0.0635467)","('vy', 0.0946009)","('vz', -0.0610644)",1697719897520947,32.096
1697719897742376181,"('vx', 0.0568553)","('vy', 0.0910611)","('vz', -0.0529667)",1697719897708149,32.283
1697719897929707554,"('vx', 0.0565901)","('vy', 0.0887171)","('vz', -0.044726)",1697719897895672,32.471
1697719898149651965,"('vx', 0.0540925)","('vy', 0.0819223)","('vz', -0.0344412)",1697719898117153,32.692
1697719898346494945,"('vx', 0.0494582)","('vy', 0.0761484)","('vz', -0.0260825)",1697719898312855,32.888
1697719898548158625,"('vx', 0.0489568)","('vy', 0.0694981)","('vz', -0.0178622)",1697719898514324,33.089
1697719898925345202,"('vx', 0.04386)","('vy', 0.0610433)","('vz', -0.00109395)",1697719898891887,33.467
1697719899121952640,"('vx', 0.0441851)","('vy', 0.0602622)","('vz', 0.00397188)",1697719899089031,33.664
1697719899325888666,"('vx', 0.0418467)","('vy', 0.0588492)","('vz', 0.00936038)",1697719899291203,33.866
1697719899515772815,"('vx', 0.0423547)","('vy', 0.0583761)","('vz', 0.0146034)",1697719899482413,34.057
1697719899694270891,"('vx', 0.0374731)","('vy', 0.0560263)","('vz', 0.0202213)",1697719899661052,34.236
1697719899912896000,"('vx', 0.0367017)","('vy', 0.0550977)","('vz', 0.0228535)",1697719899880266,34.455
1697719900084968603,"('vx', 0.0377723)","('vy', 0.0510755)","('vz', 0.0239099)",1697719900052123,34.627
1697719900291887422,"('vx', 0.0343187)","('vy', 0.0501444)","('vz', 0.0246404)",1697719900259320,34.834
1697719900490583659,"('vx', 0.0313257)","('vy', 0.0514075)","('vz', 0.0252932)",1697719900457490,35.032
1697719900695357398,"('vx', 0.0330817)","('vy', 0.0481009)","('vz', 0.0239945)",1697719900661891,35.236
1697719900862971182,"('vx', 0.0311119)","('vy', 0.0490086)","('vz', 0.0223356)",1697719900828821,35.403
1697719901054972718,"('vx', 0.0282586)","('vy', 0.0493756)","('vz', 0.0208259)",1697719901021231,35.595
1697719901260459094,"('vx', 0.027677)","('vy', 0.0502091)","('vz', 0.0185262)",1697719901227879,35.802
1697719901431120742,"('vx', 0.025723)","('vy', 0.0496442)","('vz', 0.0164993)",1697719901396414,35.971
1697719901629857929,"('vx', 0.0257323)","('vy', 0.0472581)","('vz', 0.0126461)",1697719901596953,36.172
1697719901827328037,"('vx', 0.0235047)","('vy', 0.0464859)","('vz', 0.00821321)",1697719901794373,36.369
1697719902016416600,"('vx', 0.0232833)","('vy', 0.0466665)","('vz', 0.00528755)",1697719901983326,36.558
1697719902208292638,"('vx', 0.0220972)","('vy', 0.0461735)","('vz', 0.00253496)",1697719902175396,36.75
1697719902406402291,"('vx', 0.0213741)","('vy', 0.0416054)","('vz', -0.00155132)",1697719902373613,36.948
1697719902582580497,"('vx', 0.0219513)","('vy', 0.0410872)","('vz', -0.00340479)",1697719902550699,37.125
1697719902776018022,"('vx', 0.0207413)","('vy', 0.0388144)","('vz', -0.0063699)",1697719902743053,37.317
1697719902972144334,"('vx', 0.0200212)","('vy', 0.0370381)","('vz', -0.0074717)",1697719902939392,37.513
1697719903167294791,"('vx', 0.0234915)","('vy', 0.0425023)","('vz', -0.0146854)",1697719903135130,37.709
1697719903370356355,"('vx', 0.0196095)","('vy', 0.0571822)","('vz', -0.0171385)",1697719903338132,37.912
1697719903572892972,"('vx', 0.0316396)","('vy', 0.119901)","('vz', -0.005802)",1697719903539571,38.113
1697719903746492578,"('vx', 0.0575402)","('vy', 0.156214)","('vz', 0.00232114)",1697719903714092,38.288
1697719903946729465,"('vx', 0.0793896)","('vy', 0.188487)","('vz', -0.00208483)",1697719903913978,38.488
1697719904124108524,"('vx', 0.113546)","('vy', 0.200105)","('vz', -0.00682549)",1697719904090316,38.664
1697719904313379634,"('vx', 0.136101)","('vy', 0.189998)","('vz', -0.0106714)",1697719904279979,38.854
1697719904509615474,"('vx', 0.109398)","('vy', 0.141514)","('vz', -0.0206061)",1697719904476632,39.051
1697719904707799913,"('vx', 0.0991838)","('vy', 0.12392)","('vz', -0.0364329)",1697719904674418,39.249
1697719904905565036,"('vx', 0.0935446)","('vy', 0.105163)","('vz', -0.0432842)",1697719904872909,39.447
1697719905108043226,"('vx', 0.0953031)","('vy', 0.104694)","('vz', -0.0410574)",1697719905075241,39.649
1697719905307294989,"('vx', 0.107898)","('vy', 0.10407)","('vz', -0.0394248)",1697719905273956,39.848
1697719905492519179,"('vx', 0.0980624)","('vy', 0.0998593)","('vz', -0.041792)",1697719905459656,40.034
1697719905691542108,"('vx', 0.0717874)","('vy', 0.0871377)","('vz', -0.0395778)",1697719905659005,40.233
1697719905887656340,"('vx', 0.0558339)","('vy', 0.0777237)","('vz', -0.0387007)",1697719905854035,40.428
1697719906064370208,"('vx', 0.0430908)","('vy', 0.0807976)","('vz', -0.0343353)",1697719906032208,40.606
1697719906265117222,"('vx', 0.0333559)","('vy', 0.0825093)","('vz', -0.0278751)",1697719906232099,40.806
1697719906468787154,"('vx', 0.0208975)","('vy', 0.0863537)","('vz', -0.0222897)",1697719906435255,41.009
1697719906645441721,"('vx', -0.000156588)","('vy', 0.0902441)","('vz', -0.0172128)",1697719906610611,41.184
1697719906842220904,"('vx', -0.0121648)","('vy', 0.0969032)","('vz', -0.0135631)",1697719906808622,41.382
1697719907029458015,"('vx', -0.0264206)","('vy', 0.102734)","('vz', -0.0129972)",1697719906996650,41.57
1697719907225063327,"('vx', -0.0393421)","('vy', 0.103897)","('vz', -0.0116734)",1697719907193203,41.767
1697719907407817475,"('vx', -0.0532237)","('vy', 0.114483)","('vz', -0.00935702)",1697719907375010,41.949
1697719907601304723,"('vx', -0.0704324)","('vy', 0.114756)","('vz', -0.00533126)",1697719907568271,42.142
1697719907799274803,"('vx', -0.0656254)","('vy', 0.0993991)","('vz', 0.00645978)",1697719907766489,42.34
1697719908006702978,"('vx', -0.0320081)","('vy', 0.0836717)","('vz', 0.00119336)",1697719907974625,42.548
1697719908186705598,"('vx', 0.0152345)","('vy', 0.0681153)","('vz', -0.00210922)",1697719908153232,42.727
1697719908389533351,"('vx', -0.0709761)","('vy', 0.0368593)","('vz', 0.000390253)",1697719908356497,42.93
1697719908563402075,"('vx', -0.0898929)","('vy', 0.0654265)","('vz', 0.00937863)",1697719908528827,43.102
1697719908933941731,"('vx', -0.103604)","('vy', 0.107823)","('vz', 0.00324134)",1697719908900419,43.474
1697719909140885682,"('vx', -0.117961)","('vy', 0.106781)","('vz', 0.00543488)",1697719909106772,43.68
1697719909336070962,"('vx', -0.116163)","('vy', 0.104479)","('vz', 0.00276986)",1697719909303348,43.877
1697719909539692240,"('vx', -0.120899)","('vy', 0.105326)","('vz', 0.00213854)",1697719909508155,44.082
1697719909747622074,"('vx', -0.130047)","('vy', 0.11221)","('vz', -0.00169609)",1697719909714856,44.289
1697719909916898039,"('vx', -0.133228)","('vy', 0.109708)","('vz', -0.00521988)",1697719909883807,44.458
1697719910105545006,"('vx', -0.120396)","('vy', 0.125619)","('vz', -0.00676678)",1697719910071904,44.646
1697719910328672522,"('vx', -0.106386)","('vy', 0.135151)","('vz', -0.00497084)",1697719910293622,44.868
1697719910503444104,"('vx', -0.090807)","('vy', 0.15265)","('vz', -0.00199668)",1697719910469189,45.044
1697719910704198133,"('vx', -0.0497718)","('vy', 0.183015)","('vz', -0.00267424)",1697719910670502,45.245
1697719910873164375,"('vx', -0.0150158)","('vy', 0.19104)","('vz', -0.0146397)",1697719910840569,45.415
1697719911065717616,"('vx', 0.00909678)","('vy', 0.195337)","('vz', -0.0204897)",1697719911032419,45.607
1697719911264457380,"('vx', -0.00292476)","('vy', 0.177134)","('vz', -0.0292325)",1697719911231177,45.806
1697719911454489494,"('vx', -0.0267745)","('vy', 0.18169)","('vz', -0.0263396)",1697719911421139,45.996
1697719911651152379,"('vx', 0.0175546)","('vy', 0.210997)","('vz', -0.0177141)",1697719911618195,46.193
1697719911878156956,"('vx', 0.045138)","('vy', 0.228719)","('vz', -0.0295671)",1697719911842316,46.417
1697719912067107924,"('vx', 0.0617554)","('vy', 0.225285)","('vz', -0.0298072)",1697719912034990,46.61
1697719912238655973,"('vx', 0.0599606)","('vy', 0.232726)","('vz', -0.0199401)",1697719912205896,46.781
1697719912431132508,"('vx', 0.0546701)","('vy', 0.213991)","('vz', -0.0166317)",1697719912398370,46.973
1697719912644082027,"('vx', 0.0270497)","('vy', 0.19498)","('vz', -0.014662)",1697719912608924,47.184
1697719912828455339,"('vx', 0.023246)","('vy', 0.188353)","('vz', -0.0230543)",1697719912795059,47.37
1697719913006760142,"('vx', 0.0033276)","('vy', 0.187166)","('vz', -0.0239322)",1697719912972755,47.548
1697719913227609684,"('vx', 0.0231746)","('vy', 0.207193)","('vz', -0.0299326)",1697719913195354,47.771
1697719913405324300,"('vx', 0.0574355)","('vy', 0.241311)","('vz', -0.0302901)",1697719913371432,47.947
1697719913594117338,"('vx', 0.0439199)","('vy', 0.225286)","('vz', -0.0361781)",1697719913560987,48.137
1697719913784835626,"('vx', 0.023564)","('vy', 0.222332)","('vz', -0.0215041)",1697719913751394,48.327
1697719913998006946,"('vx', 0.0156628)","('vy', 0.208336)","('vz', -0.0165749)",1697719913964873,48.54
1697719914170110516,"('vx', 0.009215)","('vy', 0.184159)","('vz', -0.0269268)",1697719914137422,48.713
1697719914369925850,"('vx', 0.0073118)","('vy', 0.17269)","('vz', -0.0333531)",1697719914336720,48.912
1697719914568068991,"('vx', -0.006241)","('vy', 0.168081)","('vz', -0.042716)",1697719914535029,49.11
1697719914767474379,"('vx', -0.0126901)","('vy', 0.15622)","('vz', -0.0487784)",1697719914733576,49.309
1697719914953085274,"('vx', -0.0121948)","('vy', 0.159154)","('vz', -0.0535575)",1697719914920200,49.496
1697719915166000688,"('vx', -0.0108014)","('vy', 0.157939)","('vz', -0.0578181)",1697719915132270,49.708
